Category,Feature,MJX Support,mjlab Support,Status,Notes,Migration Priority
Core Architecture,Modular Environment System,Yes,Yes,FULL,"Both use registry-based env management. mjlab uses manager-based system instead of decorator pattern",High
Core Architecture,Configuration System,Yes (Gin),Yes (Dataclass),PARTIAL,"mjlab uses Python dataclasses instead of Gin. More Pythonic but requires code refactoring",High
Core Architecture,Training Framework Integration,Yes (RSL-RL),Yes (RSL-RL),FULL,Both integrate with RSL-RL for PPO training,High
Core Architecture,Physics Backend,Yes (MJX/JAX),Yes (MuJoCo Warp),DIFFERENT,"mjlab uses MuJoCo Warp (GPU-accelerated) instead of MJX. Different compilation backend",High
Core Architecture,JIT Compilation,Yes (JAX),No (PyTorch),MISSING,"mjlab uses PyTorch instead of JAX. No automatic JIT compilation",Medium
Training Algorithms,PPO Implementation,Yes,Yes,FULL,Both use RSL-RL PPO with configurable hyperparameters,High
Training Algorithms,Actor-Critic Architecture,Yes,Yes,FULL,Both support configurable hidden layers and activations,High
Training Algorithms,Recurrent Neural Networks,Yes (LSTM/GRU),No,MISSING,"mjlab doesn't support RNN/LSTM in policy networks",Low
Training Algorithms,Symmetry Augmentation,Yes,No,MISSING,"mjlab doesn't have mirror loss or symmetric trajectory generation",Low
Training Algorithms,Empirical Normalization,Yes,Yes,PARTIAL,"mjlab has observation normalization but different implementation",Medium
Training Algorithms,Gradient Clipping,Yes,Yes,FULL,Both support max_grad_norm parameter,High
Environments,Task Variety,27+ specialized envs,2 base tasks,PARTIAL,"mjlab has velocity and tracking tasks. Missing specialized envs (crawl, climb, stair, box, chair, etc)",Medium
Environments,Multi-Robot Support,Yes (ToddlerBot),Yes (G1/Go1/ToddlerBot),EXPANDED,"mjlab supports more robots out of box",High
Reward System,Modular Reward Framework,Yes,Yes,FULL,"Both have pluggable reward systems with dynamic registration",High
Reward System,Curriculum Reward Scaling,Yes,Yes,FULL,Both support time-based reward weight adjustment,High
Reward System,DeepMimic Rewards,Yes,No,MISSING,"mjlab missing DeepMimic-specific rewards (body_quat, site_pos tracking)",Medium
Reward System,Velocity Tracking,Yes,Yes,FULL,Both have linear and angular velocity tracking rewards,High
Reward System,Energy Efficiency,Yes,Yes,FULL,Both have torque-based power consumption penalties,Medium
Reward System,Action Smoothness,Yes,Yes,FULL,Both penalize action rate changes,Medium
Reward System,Posture/Pose Rewards,Yes,Yes,FULL,"mjlab has posture reward with configurable std per joint",High
Reward System,Exponential vs MSE Rewards,Yes,Partial,PARTIAL,"mjlab has exponential pose tracking but not configurable per reward type",Medium
Observation Space,Observation Groups,Yes,Yes,FULL,"mjlab has policy/critic observation groups",High
Observation Space,Frame Stacking,Yes (15 frames),No,MISSING,"mjlab doesn't support temporal observation history/frame stacking",High
Observation Space,Privileged Observations,Yes,Yes,FULL,Both support asymmetric teacher-student information,High
Observation Space,Motor State,Yes,Yes,FULL,Both observe joint positions and velocities,High
