Category,Feature,Description,Implementation Details,Configuration
Core Architecture,MJX-Based Simulation,JAX-accelerated MuJoCo physics simulation,Built on Brax/MJX for GPU acceleration supports vectorized environments,MJXEnv base class with JAX JIT compilation
Core Architecture,Modular Environment System,Registry-based environment management,@env_name decorator system get_env_class() factory,27+ specialized environments
Core Architecture,Gin Configuration System,Hierarchical configuration management,@gin.configurable decorators .gin config files,Per-environment .gin files
Core Architecture,RSL-RL Integration,Integration with RSL-RL training framework,RSLRLWrapper for JAX<->PyTorch conversion,OnPolicyRunner with PPO
Training Algorithms,Proximal Policy Optimization (PPO),On-policy RL algorithm with clipping,RSL-RL PPO implementation with adaptive scheduling,Configurable hyperparameters via PPOConfig
Training Algorithms,Actor-Critic Architecture,Separate policy and value networks,Configurable hidden layer sizes activation functions,(512 256 128) default hidden layers
Training Algorithms,Recurrent Neural Networks,Optional LSTM/GRU support,RSL-RL ActorCriticRecurrent configurable RNN type,LSTM default 512 hidden size
Training Algorithms,Symmetry Augmentation,Data augmentation and mirror loss,Mirror loss coefficient symmetric trajectory generation,Configurable mirror_loss_coeff
Training Algorithms,Empirical Normalization,Online observation normalization,EmpiricalNormalization module from RSL-RL,Configurable normalize_observation
Training Algorithms,Gradient Clipping,Prevents gradient explosion,max_grad_norm parameter,Default 1.0 max gradient norm
Environments,Walk Environment,Bipedal walking with ZMP reference,WalkZMPReference motion generation,8-dimensional command space
Environments,Crawl Environment,Multi-directional crawling,4 motion directions (forward/backward/left/right),Configurable enabled_motions
Environments,Climb Wall Environment,Wall climbing with spawn offset handling,Global frame motion tracking with Y-offset,Custom reward overrides
Environments,Get Up Environment,Standing up from prone position,Variable playback speed multiple start poses,Configurable init_state_indices
Environments,Stair Environments,Stair climbing and descending,StairCrawlEnv StairDownEnv,Terrain-specific configurations
Environments,Box Climbing Environments,Climbing up/down boxes in multiple modes,Forward/backward crawl/walk variants,8 specialized box environments
Environments,Chair Environments,Crawling around/on chairs,CrawlChairEnv CrawlOnlyChairEnv,Chair-specific collision handling
Environments,Rotate Box Environments,Box manipulation tasks,Left/right rotation variants,Object manipulation rewards
Environments,Cartwheel Environment,Acrobatic movement,CartwheelEnv with specialized dynamics,Acrobatic motion references
Reward System,Modular Reward Framework,Pluggable reward function system,Dynamic reward function registration _reward_* methods,RewardScales configuration
Reward System,Curriculum Reward Scaling,Time-based reward weight adjustment,Dict-based scaling with global_step keys,Step-based curriculum phases
Reward System,DeepMimic Rewards,Motion imitation reward components,body_quat site_pos body_lin_vel body_ang_vel,Exponential tracking rewards
Reward System,Torso Position Tracking,XY and Z position rewards,Gaussian tracking with configurable sigma,pos_tracking_sigma parameter
Reward System,Velocity Tracking,Linear and angular velocity rewards,Local frame velocity tracking,lin_vel_tracking_sigma ang_vel_tracking_sigma
Reward System,Motor Position Tracking,Weighted body part motor rewards,Separate weights for leg/arm/neck/waist,Body part weights configuration
Reward System,Energy Efficiency,Power consumption penalties,Torque * velocity energy calculation,Configurable energy reward scale
Reward System,Action Smoothness,Action rate change penalties,MSE of action differences,action_rate reward scale
Reward System,Collision Avoidance,Self-collision penalties,Contact force thresholding,Configurable collision reward scale
Reward System,Survival Rewards,Episode completion bonuses,Negative reward for early termination,survival reward scale
Reward System,Contact Rewards,Foot contact pattern matching,Stance mask comparison,feet_contact reward scale
Reward System,Exponential vs MSE Rewards,Configurable reward function types,use_exp_reward flag switches between exp(-sigma*error^2) and -MSE,Per-environment configuration
Observation Space,Frame Stacking,Temporal observation history,Configurable frame_stack parameter,15 frames default
Observation Space,Privileged Observations,Teacher-student asymmetric information,Separate privileged_obs with additional state info,144 privileged vs 101 regular obs
Observation Space,Motor State Observations,Joint positions and velocities,Motor position deltas velocities with noise,Configurable observation scales
Observation Space,IMU Observations,Inertial measurement unit simulation,Torso angular velocity and quaternion,Realistic sensor noise models
Observation Space,Command Observations,Goal/command embedding,Configurable command_obs_indices,Task-specific command spaces
Observation Space,Phase Signal,Motion phase information,Cyclic phase encoding for periodic motions,Motion reference dependent
Observation Space,Last Action,Action history,Previous action for temporal consistency,Single timestep history
Observation Space,Reference State Info,Motion reference data (privileged),Motor position errors stance masks,Reference motion dependent
Observation Space,Actuator Forces,Motor torque feedback (privileged),Current actuator forces with scaling,actuator_force observation scale
Action Space,Modular Action Parts,Configurable body part control,action_parts: leg/arm/waist/neck combinations,Per-environment action_parts
Action Space,Action Scaling,Normalized action space,action_scale parameter (default 0.25),Configurable scaling factor
Action Space,Action Delay,Realistic control delays,n_steps_delay parameter,Configurable delay steps
Action Space,Action Frames,Action repeat/decimation,n_frames parameter for action repetition,4 frames default
Action Space,Cycle Time,Motion timing control,cycle_time parameter for periodic motions,0.72s default cycle time
Domain Randomization,Physics Randomization,Comprehensive physics parameter variation,Friction damping armature frictionloss ranges,Configurable range parameters
Domain Randomization,Mass Randomization,Body mass variation,Body hand other mass ranges,Separate mass categories
Domain Randomization,Motor Randomization,Actuator parameter variation,kp kd tau_max q_dot_max ranges,Motor-specific randomization
